set,lens,layer,hits,n,rate,ci_lo,ci_hi
multilingual,logit,56,42,190,0.22105263157894736,0.16790438661148954,0.2852569719291961
multilingual,logit,57,42,190,0.22105263157894736,0.16790438661148954,0.2852569719291961
multilingual,logit,58,39,190,0.20526315789473684,0.15394683802168074,0.26826138987036446
multilingual,logit,59,42,190,0.22105263157894736,0.16790438661148954,0.2852569719291961
multilingual,logit,60,39,190,0.20526315789473684,0.15394683802168074,0.26826138987036446
multilingual,logit,61,35,190,0.18421052631578946,0.1355388865233778,0.2453985005038135
multilingual,logit,62,17,190,0.08947368421052632,0.056613135717573884,0.13860546741777485
multilingual,released-J,0,0,190,0.0,0.0,0.01981752945971958
multilingual,released-J,1,0,190,0.0,0.0,0.01981752945971958
multilingual,released-J,2,0,190,0.0,0.0,0.01981752945971958
multilingual,released-J,3,0,190,0.0,0.0,0.01981752945971958
multilingual,released-J,4,0,190,0.0,0.0,0.01981752945971958
multilingual,released-J,5,0,190,0.0,0.0,0.01981752945971958
multilingual,released-J,6,0,190,0.0,0.0,0.01981752945971958
multilingual,released-J,7,0,190,0.0,0.0,0.01981752945971958
multilingual,released-J,8,1,190,0.005263157894736842,0.0009296815656636322,0.029205558110269425
multilingual,released-J,9,0,190,0.0,0.0,0.01981752945971958
multilingual,released-J,10,2,190,0.010526315789473684,0.002891457992404381,0.03756149189974215
multilingual,released-J,11,2,190,0.010526315789473684,0.002891457992404381,0.03756149189974215
multilingual,released-J,12,4,190,0.021052631578947368,0.008216683210937811,0.05287168711363567
multilingual,released-J,13,4,190,0.021052631578947368,0.008216683210937811,0.05287168711363567
multilingual,released-J,14,2,190,0.010526315789473684,0.002891457992404381,0.03756149189974215
multilingual,released-J,15,1,190,0.005263157894736842,0.0009296815656636322,0.029205558110269425
multilingual,released-J,16,1,190,0.005263157894736842,0.0009296815656636322,0.029205558110269425
multilingual,released-J,17,1,190,0.005263157894736842,0.0009296815656636322,0.029205558110269425
multilingual,released-J,18,1,190,0.005263157894736842,0.0009296815656636322,0.029205558110269425
multilingual,released-J,19,3,190,0.015789473684210527,0.005384126064186423,0.045386534044173595
multilingual,released-J,20,6,190,0.031578947368421054,0.014551684237534043,0.06717210651946641
multilingual,released-J,21,10,190,0.05263157894736842,0.028836437792334857,0.0941581938295195
multilingual,released-J,22,13,190,0.06842105263157895,0.040418272568199846,0.11352948970229496
multilingual,released-J,23,17,190,0.08947368421052632,0.056613135717573884,0.13860546741777485
multilingual,released-J,24,24,190,0.12631578947368421,0.08637251600519862,0.18107005864364445
multilingual,released-J,25,25,190,0.13157894736842105,0.09073685792360459,0.1870234269414519
multilingual,released-J,26,34,190,0.17894736842105263,0.1309759110912646,0.23964376571971324
multilingual,released-J,27,33,190,0.1736842105263158,0.12642955877359421,0.23387240782117016
multilingual,released-J,28,39,190,0.20526315789473684,0.15394683802168074,0.26826138987036446
multilingual,released-J,29,34,190,0.17894736842105263,0.1309759110912646,0.23964376571971324
multilingual,released-J,30,33,190,0.1736842105263158,0.12642955877359421,0.23387240782117016
multilingual,released-J,31,32,190,0.16842105263157894,0.1219004048944389,0.22808385148411195
multilingual,released-J,32,30,190,0.15789473684210525,0.11289621943608319,0.21645261651004072
multilingual,released-J,33,30,190,0.15789473684210525,0.11289621943608319,0.21645261651004072
multilingual,released-J,34,31,190,0.1631578947368421,0.1173890689587041,0.22227747720363333
multilingual,released-J,35,35,190,0.18421052631578946,0.1355388865233778,0.2453985005038135
multilingual,released-J,36,41,190,0.21578947368421053,0.1632382144161695,0.2796054339083027
multilingual,released-J,37,46,190,0.24210526315789474,0.18669796052669493,0.30773423887884455
multilingual,released-J,38,46,190,0.24210526315789474,0.18669796052669493,0.30773423887884455
multilingual,released-J,39,47,190,0.24736842105263157,0.19142711467848447,0.31332279494326853
multilingual,released-J,40,44,190,0.23157894736842105,0.17727600630192114,0.2965207726711915
multilingual,released-J,41,43,190,0.22631578947368422,0.1725837567116398,0.2908953120452593
multilingual,released-J,42,43,190,0.22631578947368422,0.1725837567116398,0.2908953120452593
multilingual,released-J,43,41,190,0.21578947368421053,0.1632382144161695,0.2796054339083027
multilingual,released-J,44,40,190,0.21052631578947367,0.15858557833601034,0.27394035977224834
multilingual,released-J,45,38,190,0.2,0.14932237639446422,0.2625681412813676
multilingual,released-J,46,39,190,0.20526315789473684,0.15394683802168074,0.26826138987036446
multilingual,released-J,47,33,190,0.1736842105263158,0.12642955877359421,0.23387240782117016
multilingual,released-J,48,37,190,0.19473684210526315,0.1447126016882911,0.2568602057713272
multilingual,released-J,49,36,190,0.18947368421052632,0.14011794973420758,0.25113714750919724
multilingual,released-J,50,31,190,0.1631578947368421,0.1173890689587041,0.22227747720363333
multilingual,released-J,51,58,190,0.30526315789473685,0.24417817890676133,0.37406654309334
multilingual,released-J,52,54,190,0.28421052631578947,0.22484839169098586,0.35212548944426153
multilingual,released-J,53,53,190,0.2789473684210526,0.2200414042608183,0.34661476665821556
multilingual,released-J,54,52,190,0.2736842105263158,0.21524493484291832,0.34109352585990216
multilingual,released-J,55,51,190,0.26842105263157895,0.21045916624294025,0.33556158424366667
multilingual,released-J,56,58,190,0.30526315789473685,0.24417817890676133,0.37406654309334
multilingual,released-J,57,50,190,0.2631578947368421,0.20568429111823772,0.3300187491521558
multilingual,released-J,58,48,190,0.25263157894736843,0.1961680450468228,0.3188995747911437
multilingual,released-J,59,54,190,0.28421052631578947,0.22484839169098586,0.35212548944426153
multilingual,released-J,60,44,190,0.23157894736842105,0.17727600630192114,0.2965207726711915
multilingual,released-J,61,38,190,0.2,0.14932237639446422,0.2625681412813676
multilingual,released-J,62,17,190,0.08947368421052632,0.056613135717573884,0.13860546741777485
multilingual,released-R,0,0,190,0.0,0.0,0.01981752945971958
multilingual,released-R,1,0,190,0.0,0.0,0.01981752945971958
multilingual,released-R,2,0,190,0.0,0.0,0.01981752945971958
multilingual,released-R,3,1,190,0.005263157894736842,0.0009296815656636322,0.029205558110269425
multilingual,released-R,4,1,190,0.005263157894736842,0.0009296815656636322,0.029205558110269425
multilingual,released-R,5,2,190,0.010526315789473684,0.002891457992404381,0.03756149189974215
multilingual,released-R,6,1,190,0.005263157894736842,0.0009296815656636322,0.029205558110269425
multilingual,released-R,7,0,190,0.0,0.0,0.01981752945971958
multilingual,released-R,8,4,190,0.021052631578947368,0.008216683210937811,0.05287168711363567
multilingual,released-R,9,6,190,0.031578947368421054,0.014551684237534043,0.06717210651946641
multilingual,released-R,10,7,190,0.03684210526315789,0.017958892122649724,0.0740826088505642
multilingual,released-R,11,7,190,0.03684210526315789,0.017958892122649724,0.0740826088505642
multilingual,released-R,12,8,190,0.042105263157894736,0.021487310070989377,0.08087190111843803
multilingual,released-R,13,7,190,0.03684210526315789,0.017958892122649724,0.0740826088505642
multilingual,released-R,14,6,190,0.031578947368421054,0.014551684237534043,0.06717210651946641
multilingual,released-R,15,2,190,0.010526315789473684,0.002891457992404381,0.03756149189974215
multilingual,released-R,16,1,190,0.005263157894736842,0.0009296815656636322,0.029205558110269425
multilingual,released-R,17,3,190,0.015789473684210527,0.005384126064186423,0.045386534044173595
multilingual,released-R,18,3,190,0.015789473684210527,0.005384126064186423,0.045386534044173595
multilingual,released-R,19,13,190,0.06842105263157895,0.040418272568199846,0.11352948970229496
multilingual,released-R,20,21,190,0.11052631578947368,0.07343579369027001,0.1630536503099326
multilingual,released-R,21,33,190,0.1736842105263158,0.12642955877359421,0.23387240782117016
multilingual,released-R,22,37,190,0.19473684210526315,0.1447126016882911,0.2568602057713272
multilingual,released-R,23,36,190,0.18947368421052632,0.14011794973420758,0.25113714750919724
multilingual,released-R,24,43,190,0.22631578947368422,0.1725837567116398,0.2908953120452593
multilingual,released-R,25,42,190,0.22105263157894736,0.16790438661148954,0.2852569719291961
