set,multihop,multihop,multihop,multihop,multilingual,multilingual,multilingual,multilingual,association,association,association,association,typo,typo,typo,typo,poetry,poetry,poetry,poetry
lens,logit,released-J,released-R,control,logit,released-J,released-R,control,logit,released-J,released-R,control,logit,released-J,released-R,control,logit,released-J,released-R,control
layer,,,,,,,,,,,,,,,,,,,,
49,0.35714285714285715,0.2857142857142857,0.35714285714285715,0.0,0.21428571428571427,0.1875,0.20089285714285715,0.0,0.2549019607843137,0.19607843137254902,0.27450980392156865,0.0,0.23958333333333334,0.2916666666666667,0.4583333333333333,0.0,0.04081632653061224,0.030612244897959183,0.08163265306122448,0.0
50,0.30952380952380953,0.2857142857142857,0.2857142857142857,0.0,0.20982142857142858,0.19642857142857142,0.21428571428571427,0.0,0.20588235294117646,0.20588235294117646,0.23529411764705882,0.00980392156862745,0.2604166666666667,0.3020833333333333,0.4583333333333333,0.0,0.07142857142857142,0.05102040816326531,0.07142857142857142,0.01020408163265306
51,0.2619047619047619,0.23809523809523808,0.2857142857142857,0.0,0.20982142857142858,0.19642857142857142,0.21428571428571427,0.0,0.20588235294117646,0.19607843137254902,0.23529411764705882,0.0,0.21875,0.2916666666666667,0.4375,0.0,0.061224489795918366,0.05102040816326531,0.07142857142857142,0.0
52,0.30952380952380953,0.23809523809523808,0.2857142857142857,0.0,0.22321428571428573,0.20535714285714285,0.21875,0.0,0.17647058823529413,0.18627450980392157,0.22549019607843138,0.0,0.22916666666666666,0.3229166666666667,0.4166666666666667,0.0,0.061224489795918366,0.04081632653061224,0.07142857142857142,0.0
53,0.2619047619047619,0.2619047619047619,0.2857142857142857,0.0,0.21428571428571427,0.20982142857142858,0.21428571428571427,0.0,0.16666666666666666,0.19607843137254902,0.22549019607843138,0.0,0.23958333333333334,0.2916666666666667,0.3854166666666667,0.0,0.061224489795918366,0.030612244897959183,0.030612244897959183,0.0
54,0.2619047619047619,0.2619047619047619,0.2857142857142857,0.0,0.21875,0.21428571428571427,0.21428571428571427,0.0,0.2549019607843137,0.18627450980392157,0.21568627450980393,0.0,0.25,0.3333333333333333,0.3229166666666667,0.0,0.05102040816326531,0.02040816326530612,0.04081632653061224,0.0
55,0.35714285714285715,0.2857142857142857,0.30952380952380953,0.0,0.20089285714285715,0.17410714285714285,0.1875,0.0,0.16666666666666666,0.1568627450980392,0.17647058823529413,0.0,0.13541666666666666,0.17708333333333334,0.15625,0.0,0.0,0.0,0.01020408163265306,0.0
56,0.2857142857142857,0.2619047619047619,0.2619047619047619,0.0,0.20089285714285715,0.19196428571428573,0.19196428571428573,0.0,0.12745098039215685,0.13725490196078433,0.11764705882352941,0.0,0.03125,0.0625,0.041666666666666664,0.0,0.01020408163265306,0.0,0.0,0.0
57,0.35714285714285715,0.2619047619047619,0.35714285714285715,0.0,0.16071428571428573,0.16964285714285715,0.17410714285714285,0.0,0.09803921568627451,0.11764705882352941,0.0784313725490196,0.0,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.0,0.01020408163265306,0.0,0.0,0.0
58,0.35714285714285715,0.2857142857142857,0.30952380952380953,0.0,0.17857142857142858,0.16071428571428573,0.16964285714285715,0.0,0.049019607843137254,0.06862745098039216,0.049019607843137254,0.0,0.010416666666666666,0.020833333333333332,0.010416666666666666,0.0,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.0
59,0.3333333333333333,0.2857142857142857,0.30952380952380953,0.0,0.15178571428571427,0.13839285714285715,0.13392857142857142,0.0,0.0392156862745098,0.049019607843137254,0.0392156862745098,0.00980392156862745,0.0,0.0,0.0,0.0,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.0
60,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.0
