config,layer,cos_to_j,cos_to_r,cos_to_released_j,cos_to_released_r
identity,8,0.9399729371070862,0.8379302620887756,0.9427291750907898,0.8353471159934998
identity,9,0.9456096887588501,0.8506332635879517,0.9477978944778442,0.848177433013916
identity,10,0.9508688449859619,0.8583018183708191,0.9517328143119812,0.8564014434814453
identity,11,0.9552357792854309,0.8693175911903381,0.9550860524177551,0.8676052093505859
identity,12,0.9575590491294861,0.8735232353210449,0.9568175673484802,0.8719967603683472
identity,13,0.9593586921691895,0.8787168860435486,0.958429753780365,0.8772507309913635
identity,14,0.9603251218795776,0.8830222487449646,0.959708034992218,0.8818509578704834
identity,15,0.9616848230361938,0.890423059463501,0.9608169794082642,0.8893766403198242
identity,16,0.9619043469429016,0.8935235738754272,0.961388885974884,0.8929506540298462
identity,17,0.9646387100219727,0.9056146740913391,0.9637682437896729,0.9049825072288513
identity,18,0.968960165977478,0.9220292568206787,0.9680188298225403,0.9211367964744568
identity,19,0.9717362523078918,0.9376642107963562,0.970764696598053,0.9370513558387756
identity,20,0.9751877784729004,0.9500510096549988,0.9743547439575195,0.9496445655822754
identity,21,0.9777913689613342,0.9585854411125183,0.9770733118057251,0.9582750201225281
identity,22,0.9845015406608582,0.9673207402229309,0.9836359620094299,0.9669345617294312
identity,23,0.9863165020942688,0.9744294285774231,0.9855111241340637,0.9739105105400085
identity,24,0.9881431460380554,0.9789727330207825,0.9874968528747559,0.9784836769104004
identity,25,0.9897838830947876,0.982370138168335,0.9892889857292175,0.981938362121582
identity,26,0.9921059608459473,0.9860301613807678,0.991763174533844,0.9856553673744202
identity,27,0.9940465092658997,0.9905014634132385,0.9938380122184753,0.9902047514915466
identity,28,0.996372401714325,0.9939834475517273,0.9962371587753296,0.9937887787818909
identity,29,0.9992269277572632,0.9979792237281799,0.9991621375083923,0.9979028105735779
identity,30,1.0,1.0,1.0,1.0
half,0,0.6576777100563049,0.9553576111793518,0.6978386044502258,0.9348152279853821
half,1,0.6973358392715454,0.9647430181503296,0.7489001154899597,0.9468944072723389
half,2,0.7348882555961609,0.969529390335083,0.7776395678520203,0.9554075598716736
half,3,0.7696532607078552,0.9694327712059021,0.7982465624809265,0.9588009119033813
half,4,0.7952152490615845,0.9717187285423279,0.8101380467414856,0.9637867212295532
half,5,0.8080581426620483,0.9741977453231812,0.8143270015716553,0.9675158262252808
half,6,0.814014196395874,0.9727376103401184,0.8217441439628601,0.9665399193763733
half,7,0.8298844695091248,0.9750483632087708,0.835419774055481,0.969596803188324
half,8,0.8424181938171387,0.9777384400367737,0.8454207181930542,0.9731549024581909
half,9,0.85638427734375,0.9797340035438538,0.8584722876548767,0.9759173393249512
half,10,0.8655486702919006,0.9814839363098145,0.8658753037452698,0.9782761335372925
half,11,0.877775251865387,0.9828702807426453,0.877169668674469,0.9800732731819153
half,12,0.8832851648330688,0.9827560186386108,0.8821280002593994,0.9802229404449463
half,13,0.8898264765739441,0.9830344319343567,0.8885269165039062,0.9807636141777039
half,14,0.8933975696563721,0.9836826324462891,0.8922858238220215,0.9816855192184448
half,15,0.9013168215751648,0.9841498136520386,0.9000635147094727,0.9822864532470703
