set,multihop,multihop,multihop,multihop,multihop,multihop,multihop,multihop,multihop,multihop,multilingual,multilingual,multilingual,multilingual,multilingual,multilingual,multilingual,multilingual,multilingual,multilingual,association,association,association,association,association,association,association,association,association,association,typo,typo,typo,typo,typo,typo,typo,typo,typo,typo,poetry,poetry,poetry,poetry,poetry,poetry,poetry,poetry,poetry,poetry
lens,logit,j,ln,identity,half,ln+identity,ln+half,identity+half,released-J,released-R,logit,j,ln,identity,half,ln+identity,ln+half,identity+half,released-J,released-R,logit,j,ln,identity,half,ln+identity,ln+half,identity+half,released-J,released-R,logit,j,ln,identity,half,ln+identity,ln+half,identity+half,released-J,released-R,logit,j,ln,identity,half,ln+identity,ln+half,identity+half,released-J,released-R
layer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08947368421052632,0.015789473684210527,0.0,0.021052631578947368,0.07368421052631578,0.005263157894736842,0.05263157894736842,0.07368421052631578,0.015789473684210527,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40625,0.010416666666666666,0.020833333333333332,0.010416666666666666,0.14583333333333334,0.041666666666666664,0.10416666666666667,0.09375,0.010416666666666666,0.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13157894736842105,0.021052631578947368,0.0,0.015789473684210527,0.09473684210526316,0.005263157894736842,0.05789473684210526,0.1,0.031578947368421054,0.10526315789473684,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.010416666666666666,0.0,0.14583333333333334,0.052083333333333336,0.09375,0.11458333333333333,0.010416666666666666,0.14583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14210526315789473,0.05263157894736842,0.0,0.042105263157894736,0.15263157894736842,0.0,0.10526315789473684,0.15789473684210525,0.05263157894736842,0.1736842105263158,0.0,0.00980392156862745,0.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.40625,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.1875,0.0625,0.16666666666666666,0.15625,0.041666666666666664,0.17708333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.02127659574468085,0.0,0.0,0.14210526315789473,0.03684210526315789,0.0,0.04736842105263158,0.15789473684210525,0.005263157894736842,0.12631578947368421,0.14736842105263157,0.07368421052631578,0.19473684210526315,0.00980392156862745,0.0,0.0,0.00980392156862745,0.0196078431372549,0.0,0.0,0.0196078431372549,0.0,0.00980392156862745,0.40625,0.07291666666666667,0.010416666666666666,0.0625,0.25,0.0625,0.21875,0.21875,0.09375,0.2708333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.02127659574468085,0.0,0.02127659574468085,0.11052631578947368,0.06842105263157895,0.005263157894736842,0.05789473684210526,0.17894736842105263,0.010526315789473684,0.12105263157894737,0.15789473684210525,0.08947368421052632,0.18947368421052632,0.0,0.00980392156862745,0.0,0.00980392156862745,0.029411764705882353,0.0,0.00980392156862745,0.029411764705882353,0.0,0.0196078431372549,0.3333333333333333,0.10416666666666667,0.03125,0.08333333333333333,0.22916666666666666,0.11458333333333333,0.20833333333333334,0.23958333333333334,0.125,0.3229166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0425531914893617,0.0,0.0425531914893617,0.0425531914893617,0.0,0.0425531914893617,0.0425531914893617,0.02127659574468085,0.02127659574468085,0.11052631578947368,0.09473684210526316,0.010526315789473684,0.08947368421052632,0.16842105263157894,0.02631578947368421,0.14210526315789473,0.17894736842105263,0.12631578947368421,0.22631578947368422,0.00980392156862745,0.0392156862745098,0.00980392156862745,0.0392156862745098,0.049019607843137254,0.00980392156862745,0.0196078431372549,0.058823529411764705,0.00980392156862745,0.049019607843137254,0.3645833333333333,0.15625,0.0625,0.11458333333333333,0.2604166666666667,0.13541666666666666,0.28125,0.2604166666666667,0.15625,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0425531914893617,0.0,0.02127659574468085,0.0425531914893617,0.0,0.06382978723404255,0.0425531914893617,0.0425531914893617,0.0425531914893617,0.12105263157894737,0.12631578947368421,0.02631578947368421,0.11052631578947368,0.18947368421052632,0.042105263157894736,0.1631578947368421,0.1736842105263158,0.1368421052631579,0.22105263157894736,0.00980392156862745,0.058823529411764705,0.00980392156862745,0.058823529411764705,0.06862745098039216,0.00980392156862745,0.058823529411764705,0.08823529411764706,0.0392156862745098,0.0784313725490196,0.25,0.15625,0.09375,0.13541666666666666,0.2604166666666667,0.1875,0.21875,0.22916666666666666,0.14583333333333334,0.2916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.0425531914893617,0.02127659574468085,0.0425531914893617,0.0425531914893617,0.02127659574468085,0.0425531914893617,0.11578947368421053,0.12631578947368421,0.015789473684210527,0.12105263157894737,0.2,0.05263157894736842,0.17894736842105263,0.18947368421052632,0.17894736842105263,0.21578947368421053,0.0,0.049019607843137254,0.00980392156862745,0.06862745098039216,0.0784313725490196,0.00980392156862745,0.08823529411764706,0.08823529411764706,0.049019607843137254,0.0784313725490196,0.1875,0.20833333333333334,0.11458333333333333,0.14583333333333334,0.3229166666666667,0.1875,0.28125,0.3229166666666667,0.13541666666666666,0.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.02127659574468085,0.0,0.0,0.02127659574468085,0.0,0.02127659574468085,0.0425531914893617,0.02127659574468085,0.02127659574468085,0.11052631578947368,0.12105263157894737,0.03684210526315789,0.11578947368421053,0.18421052631578946,0.05263157894736842,0.15263157894736842,0.1736842105263158,0.17894736842105263,0.20526315789473684,0.0,0.058823529411764705,0.00980392156862745,0.06862745098039216,0.08823529411764706,0.00980392156862745,0.0784313725490196,0.08823529411764706,0.058823529411764705,0.06862745098039216,0.19791666666666666,0.1875,0.08333333333333333,0.15625,0.2916666666666667,0.15625,0.2604166666666667,0.2708333333333333,0.14583333333333334,0.3125,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0
28,0.0,0.0,0.02127659574468085,0.02127659574468085,0.0425531914893617,0.0,0.02127659574468085,0.0425531914893617,0.02127659574468085,0.02127659574468085,0.08947368421052632,0.11052631578947368,0.06842105263157895,0.11052631578947368,0.18947368421052632,0.06315789473684211,0.1736842105263158,0.17894736842105263,0.2,0.20526315789473684,0.0,0.06862745098039216,0.00980392156862745,0.06862745098039216,0.0784313725490196,0.00980392156862745,0.06862745098039216,0.08823529411764706,0.0392156862745098,0.058823529411764705,0.21875,0.1875,0.10416666666666667,0.16666666666666666,0.2604166666666667,0.17708333333333334,0.21875,0.2708333333333333,0.16666666666666666,0.3020833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
