config,layer,cos_to_j,cos_to_released_j,cos_to_released_r
ln+half,20,0.7413804531097412,0.730437695980072,0.8677809238433838
ln+half,21,0.7539551258087158,0.7347302436828613,0.8750306367874146
ln+half,22,0.7644658088684082,0.7419315576553345,0.8798926472663879
ln+half,23,0.78228759765625,0.7540546655654907,0.8862847089767456
ln+half,24,0.7974773049354553,0.7672170996665955,0.8946889042854309
ln+half,25,0.8117552399635315,0.7804097533226013,0.9024308919906616
ln+half,26,0.8215636014938354,0.7893481254577637,0.9089652895927429
ln+half,27,0.8299849629402161,0.7970064878463745,0.9121052026748657
ln+half,28,0.8336774110794067,0.8029189109802246,0.9167969226837158
ln+half,29,0.8391220569610596,0.8071223497390747,0.9191762208938599
ln+half,30,0.8433509469032288,0.8099283576011658,0.9217208623886108
ln+half,31,0.8509808778762817,0.8147289156913757,0.9232583045959473
ln+half,32,0.8557299375534058,0.8230088353157043,0.9313830733299255
ln+half,33,0.861116886138916,0.8302271962165833,0.936779797077179
ln+half,34,0.8689393401145935,0.844568133354187,0.9429306387901306
ln+half,35,0.8763534426689148,0.8535774350166321,0.9475371837615967
ln+half,36,0.8845796585083008,0.8657963275909424,0.953568160533905
ln+half,37,0.8923737406730652,0.8753281831741333,0.9576051235198975
ln+half,38,0.899996817111969,0.8837910294532776,0.9601041674613953
ln+half,39,0.9093555212020874,0.8930996656417847,0.9631338715553284
ln+half,40,0.91865074634552,0.9026338458061218,0.9659661054611206
ln+half,41,0.9263361692428589,0.9092601537704468,0.9688420295715332
ln+half,42,0.9318289160728455,0.9141585230827332,0.9709334373474121
ln+half,43,0.9379591345787048,0.9204305410385132,0.9731104969978333
ln+half,44,0.9426144361495972,0.9253309369087219,0.9747555255889893
ln+half,45,0.9470650553703308,0.929737389087677,0.9758279323577881
ln+half,46,0.9505527019500732,0.9331029057502747,0.9769999384880066
ln+half,47,0.9554668664932251,0.9385740756988525,0.9783206582069397
ln+half,48,0.9600914716720581,0.9443678855895996,0.9803745150566101
ln+half,49,0.9660124778747559,0.952272891998291,0.9824732542037964
ln+half,50,0.9735742211341858,0.9623213410377502,0.9855599999427795
ln+half,51,0.9828562140464783,0.9738921523094177,0.9893421530723572
ln+half,52,0.9876790642738342,0.9805695414543152,0.9925156235694885
ln+half,53,0.9908472895622253,0.9848893284797668,0.9944082498550415
ln+half,54,0.9940166473388672,0.9885762333869934,0.996660053730011
ln+half,55,0.9969180822372437,0.9931479096412659,0.9993726015090942
ln+half,56,0.9992644786834717,0.996309757232666,1.0013127326965332
ln+half,57,1.0011452436447144,0.99868243932724,1.002792477607727
ln+half,58,1.0029693841934204,1.000885248184204,1.0041993856430054
ln+half,59,1.0053261518478394,1.0045711994171143,1.006862759590149
ln+half,60,1.007473111152649,1.0067260265350342,1.0081626176834106
ln+half,61,1.0087857246398926,1.0079429149627686,1.0085524320602417
ln+half,62,1.0,1.0,1.0
identity+half,0,0.48094168305397034,0.5258702635765076,0.7150379419326782
identity+half,1,0.4768630266189575,0.5431522727012634,0.731694221496582
identity+half,2,0.4881635904312134,0.5664353966712952,0.7569187879562378
identity+half,3,0.5039642453193665,0.5873221755027771,0.7823174595832825
identity+half,4,0.5311242341995239,0.6128422617912292,0.8003711104393005
identity+half,5,0.5527137517929077,0.6254996657371521,0.8113766312599182
identity+half,6,0.5183292031288147,0.6085149049758911,0.800764799118042
identity+half,7,0.5437849760055542,0.6232537031173706,0.8070480227470398
identity+half,8,0.5728954076766968,0.638022780418396,0.8157099485397339
identity+half,9,0.593040943145752,0.651452362537384,0.8232667446136475
identity+half,10,0.6148982048034668,0.662492573261261,0.8307833075523376
identity+half,11,0.6323196291923523,0.6706627607345581,0.8347440958023071
identity+half,12,0.6452623009681702,0.6820567846298218,0.8432660698890686
identity+half,13,0.6647894382476807,0.6912922859191895,0.847263514995575
identity+half,14,0.6823728084564209,0.7007887363433838,0.8516461253166199
identity+half,15,0.7048454880714417,0.7139886617660522,0.8551478981971741
identity+half,16,0.7035250067710876,0.7167536020278931,0.8731970191001892
identity+half,17,0.7151166796684265,0.7228885889053345,0.8823521733283997
identity+half,18,0.7131720185279846,0.7469104528427124,0.881278932094574
identity+half,19,0.7223635911941528,0.741371750831604,0.8781893253326416
identity+half,20,0.7366730570793152,0.7477468848228455,0.8862516283988953
identity+half,21,0.7495232224464417,0.750935971736908,0.8922802805900574
identity+half,22,0.7598514556884766,0.7563562989234924,0.8954737782478333
identity+half,23,0.777459442615509,0.766685962677002,0.900580644607544
identity+half,24,0.7930601835250854,0.7786048650741577,0.9075066447257996
identity+half,25,0.8080377578735352,0.7907927632331848,0.9141550064086914
identity+half,26,0.8184283971786499,0.7990767955780029,0.9199281334877014
identity+half,27,0.8266234397888184,0.8058294057846069,0.9224306344985962
identity+half,28,0.830597996711731,0.8113282322883606,0.9267100691795349
identity+half,29,0.8365994691848755,0.8147212266921997,0.9284959435462952
identity+half,30,0.8413509130477905,0.8173649311065674,0.9307225942611694
identity+half,31,0.8484928607940674,0.8208394050598145,0.931770920753479
identity+half,32,0.8528600335121155,0.8285824656486511,0.9398027658462524
identity+half,33,0.8580408096313477,0.8343374729156494,0.9441730976104736
identity+half,34,0.8652268052101135,0.8476898074150085,0.949670135974884
identity+half,35,0.8726816177368164,0.8563945889472961,0.9538572430610657
identity+half,36,0.8807036876678467,0.8679237365722656,0.9594213366508484
identity+half,37,0.888678789138794,0.8768240809440613,0.9632927179336548
identity+half,38,0.8964066505432129,0.8850405812263489,0.9655776023864746
identity+half,39,0.9061434864997864,0.8943681716918945,0.9685030579566956
identity+half,40,0.9165089130401611,0.9043592810630798,0.9713054895401001
identity+half,41,0.9253642559051514,0.9117929339408875,0.9748461842536926
identity+half,42,0.9307625889778137,0.916394054889679,0.9767683148384094
identity+half,43,0.9362571239471436,0.9217756390571594,0.9784897565841675
identity+half,44,0.9406298398971558,0.9260411858558655,0.9797297716140747
identity+half,45,0.9447447657585144,0.9299330115318298,0.9806094169616699
identity+half,46,0.9481568932533264,0.9328508973121643,0.9815078973770142
identity+half,47,0.9525581002235413,0.9376700520515442,0.9827795028686523
identity+half,48,0.956729531288147,0.9426471590995789,0.9846395254135132
identity+half,49,0.9621819853782654,0.9497854113578796,0.9866021871566772
identity+half,50,0.9698911309242249,0.9596312046051025,0.9893171787261963
identity+half,51,0.9789724349975586,0.9707459807395935,0.9927845597267151
identity+half,52,0.9840138554573059,0.9774817228317261,0.9956742525100708
